Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
HIST105	1	WESTERN CIVILIZATION	123456	--T-R--	1000	1150	30	group																
HIST108	1	HISTORY OF THE MODERN WORLD	123456	--T-R--	800	950	30	group																
HIST200	1	UNITED STATES HIST 1776-1980	123456	-M-W-F-	920	1030	30	group																
HIST219	1	ATLANTIC WORLD SURVEY	123456	--T-R--	1400	1550	30	group																
HIST224	1	INTRODUCTION TO HISTORICAL METHO	123456	--T-R--	1800	1950	30	group																
HIST272	1	ANCIENT MEDITERRANEAN	123456	-M-W---	1440	1630	30	group																
HIST280	1	AFRICA AND AFRICAN DIASPORA	123456	-M-W-F-	920	1030	30	group																
HIST336	1	JEWISH PEOPLE IN MODERN WORLD	123456	--T-R--	1400	1550	30	group																
HIST354	1	HISTORY OF JAPAN TO 1600	123456	-M-W-F-	1040	1150	30	group																
HIST369	1	HISTORY OF APARTHEID	123456	-M-W-F-	1320	1430	30	group																
HIST375	1	THE AMERICAN REVOLUTION	123456	--T-R--	1200	1350	30	group																
HIST384	1	MEDIEVAL EUROPE	123456	--T-R--	1800	1950	30	group																
HIST393	1	TOPICS IN EUROPEAN HISTORY:The World of Late Antiquity	123456	-M-W---	1800	1950	30	group																
HIST394	1	TOP:ASIAN AFRICAN LAT AM HIST:Chinese History and Film	123456	-M-W---	1440	1630	30	group																
HIST396	1	TOP:COMPAR THEMATIC GLOBAL HIST:World War I	123456	--T-R--	1800	1950	30	group																
HIST415	1	TOPICS IN AMERICAN HISTORY:The US During World War II	123456	-M-W---	1440	1630	30	group																
HIST419	1	AFRICAN-AMERICAN HIST IN US	123456	-M-W-F-	1040	1150	30	group																
HIST435	1	TOPICS:EUROPEAN HISTORY:Europe Since 1945	123456	--T-R--	1000	1150	30	group																
HIST435	2	TOPICS:EUROPEAN HISTORY:Revolution Sex/Absinthe Europe	123456	--T-R--	1200	1350	30	group																
ILAS206	1	INTRO LATIN AM LIT IN TRANS	123456	-M-W-F-	1320	1430	30	group																
ILCC101	1	ELEM CHINESE I	123456	-M-W-F-	1040	1150	30	group																
ILCC200	1	CONVERSATIONAL CHINESE	123456	----R--	1630	1730	30	group																
ILCC201	1	INTERMED CHINESE I	123456	-M-W-F-	1040	1150	30	group																
